price,address,price_m2,rooms,toilets,direction,floors,property_legal_document,house_type,furnishing_sell,width,length,living_size,size
"1,40 tỷ","7/7/27, Đường số 17, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","30,43 triệu/m²",3 phòng,1 phòng,Đông Bắc,1,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,,,,
"7,65 tỷ",Cập nhật 1 ngày trước,"109,29 triệu/m²",3 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,70 m²
"2,70 tỷ","Phố Nam Ngãi Cầu, Xã An Khánh, Huyện Hoài Đức, Hà Nội","84,38 triệu/m²",3 phòng,3 phòng,Đông Bắc,4,Đã có sổ,"Nhà ngõ, hẻm",,3.2 m,,,
"5,95 tỷ",Lê Văn Lương,"29,75 triệu/m²",5 phòng,4 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,5 m,,,
1 tỷ,"., Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",10 triệu/m²,2 phòng,2 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,5 m,,,
"3,80 tỷ","Đường Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","52,78 triệu/m²",6 phòng,2 phòng,Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,
2 tỷ,"D6/7N, Đường Liên Ấp 2-3-4, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh","35,71 triệu/m²",4 phòng,3 phòng,,2,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,,,
"3,35 tỷ","Lê Văn Khương, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","58,46 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,14 m,,
"3,35 tỷ","Lê Văn Khương, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","58,46 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,14 m,,
32 tỷ,"Đường DC11, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","170,67 triệu/m²",3 phòng,4 phòng,Đông Nam,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,10 m,,,
"1,88 tỷ","Đường Liên khu 4-5, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","62,67 triệu/m²",4 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,5 m,6 m,,
"7,50 tỷ",Cập nhật 1 ngày trước,"13,59 triệu/m²",3 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,552 m²
"3,75 tỷ",Cập nhật 1 ngày trước,"58,59 triệu/m²",4 phòng,4 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,64 m²
5 tỷ,"Đường Nguyễn Văn Luông, Phường 12, Quận 6, Tp Hồ Chí Minh","92,59 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,
"2,90 tỷ",Cập nhật 1 ngày trước,"35,37 triệu/m²",3 phòng,2 phòng,Tây Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",,,,,82 m²
"1,40 tỷ","Đường Nguyễn Cửu Phú, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh","11,11 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,6 m,,,
"4,19 tỷ",Cập nhật 1 ngày trước,"58,19 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,72 m²
"3,69 tỷ","Đường Lê Hồng Phong, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương","36,90 triệu/m²",2 phòng,2 phòng,Tây,3,Đã có sổ,"Nhà ngõ, hẻm",,5 m,,,
"8,20 tỷ",Cập nhật 3 phút trước,"126,15 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,65 m²
"2,99 tỷ",Cập nhật 1 giờ trước,"62,29 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,48 m²
"6,99 tỷ",Cập nhật 4 phút trước,"77,67 triệu/m²",5 phòng,5 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",,,,,90 m²
"1,15 tỷ","Đặng Văn Bi, Phường Bình Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","16,20 triệu/m²",3 phòng,2 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,5 m,,,
"16,50 tỷ","Đường Số 25, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","134,15 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",,7 m,17.5 m,,
"3,40 tỷ","Quốc Lộ 1A, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","43,04 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,5.6 m,,,
"4,30 tỷ","Đường Trường Sa, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh","143,33 triệu/m²",2 phòng,2 phòng,Đông Nam,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
"3,80 tỷ","Đường Bình Đức, Phường 15, Quận 8, Tp Hồ Chí Minh","50,67 triệu/m²",2 phòng,2 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",,5 m,15 m,,
"4,75 tỷ","1/4, Đường Đoàn Giỏi, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","76,61 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,12.2 m,90 m²,
"9,80 tỷ","32A , TA13, Phường Thới An, Quận 12, Tp Hồ Chí Minh","150,77 triệu/m²",5 phòng,6 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,4 m,,,
"1,88 tỷ","Đường Liên khu 4-5, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","62,67 triệu/m²",4 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,5 m,6 m,,
"7,50 tỷ",Cập nhật 1 ngày trước,"13,59 triệu/m²",3 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,552 m²
"3,75 tỷ",Cập nhật 1 ngày trước,"58,59 triệu/m²",4 phòng,4 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,64 m²
5 tỷ,"Đường Nguyễn Văn Luông, Phường 12, Quận 6, Tp Hồ Chí Minh","92,59 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,
"2,90 tỷ",Cập nhật 1 ngày trước,"35,37 triệu/m²",3 phòng,2 phòng,Tây Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",,,,,82 m²
"1,40 tỷ","Đường Nguyễn Cửu Phú, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh","11,11 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,6 m,,,
"4,19 tỷ",Cập nhật 1 ngày trước,"58,19 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,72 m²
"3,69 tỷ","Đường Lê Hồng Phong, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương","36,90 triệu/m²",2 phòng,2 phòng,Tây,3,Đã có sổ,"Nhà ngõ, hẻm",,5 m,,,
"8,20 tỷ",Cập nhật 11 phút trước,"126,15 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,65 m²
"2,99 tỷ",Cập nhật 1 giờ trước,"62,29 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,48 m²
"6,99 tỷ",Cập nhật 12 phút trước,"77,67 triệu/m²",5 phòng,5 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",,,,,90 m²
"1,15 tỷ","Đặng Văn Bi, Phường Bình Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","16,20 triệu/m²",3 phòng,2 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,5 m,,,
"16,50 tỷ","Đường Số 25, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","134,15 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",,7 m,17.5 m,,
"3,40 tỷ","Quốc Lộ 1A, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","43,04 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,5.6 m,,,
"4,30 tỷ","Đường Trường Sa, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh","143,33 triệu/m²",2 phòng,2 phòng,Đông Nam,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
"3,80 tỷ","Đường Bình Đức, Phường 15, Quận 8, Tp Hồ Chí Minh","50,67 triệu/m²",2 phòng,2 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",,5 m,15 m,,
"4,75 tỷ","1/4, Đường Đoàn Giỏi, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","76,61 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,12.2 m,90 m²,
"9,80 tỷ","32A , TA13, Phường Thới An, Quận 12, Tp Hồ Chí Minh","150,77 triệu/m²",5 phòng,6 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,4 m,,,
850 triệu,"Hoàng Phan Thái, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","9,44 triệu/m²",3 phòng,2 phòng,Đông,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,
970 triệu,"Đường Lưu Hữu Phước, Phường 15, Quận 8, Tp Hồ Chí Minh","64,67 triệu/m²",2 phòng,1 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,2.6 m,6.2 m,,
970 triệu,"Đường Lưu Hữu Phước, Phường 15, Quận 8, Tp Hồ Chí Minh","64,67 triệu/m²",2 phòng,1 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,2.6 m,6.2 m,,
"8,69 tỷ","Đường Tân Thới Hiệp 09, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh","59,93 triệu/m²",5 phòng,,,,Đã có sổ,Nhà biệt thự,Nội thất cao cấp,6 m,25 m,340 m²,
890 triệu,"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","11,13 triệu/m²",3 phòng,2 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,5 m,16 m,,80 m²
"3,30 tỷ","Đường Hòa Bình, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","91,67 triệu/m²",4 phòng,3 phòng,Đông Nam,4,Đã có sổ,"Nhà ngõ, hẻm",,6 m,,,
"5,70 tỷ",Cập nhật 1 ngày trước,"154,05 triệu/m²",3 phòng,,,5,Đã có sổ,"Nhà ngõ, hẻm",,,,,37 m²
"4,20 tỷ","Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","72,41 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,
"5,33 tỷ","Đường Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","133,25 triệu/m²",3 phòng,3 phòng,Đông,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"5,70 tỷ",Cập nhật 1 ngày trước,"111,76 triệu/m²",4 phòng,,,,Đã có sổ,Nhà phố liền kề,,,,,51 m²
"4,60 tỷ",Cập nhật 1 ngày trước,"58,97 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,78 m²
680 triệu,"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","6,80 triệu/m²",3 phòng,2 phòng,Đông Nam,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,,,
"2,19 tỷ","Hẻm 124 Đường Bùi Trọng Nghĩa, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai","24,33 triệu/m²",3 phòng,2 phòng,Bắc,2,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,5 m,,,
590 triệu,Cập nhật 1 ngày trước,59 triệu/m²,2 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,10 m²
"4,15 tỷ","2889/49/1, Đường Phạm Thế Hiển, Phường 7, Quận 8, Tp Hồ Chí Minh","76,85 triệu/m²",6 phòng,5 phòng,Đông Nam,3,Đã có sổ,"Nhà ngõ, hẻm",,6 m,,,
"6,90 tỷ","Đường Ngọc Hân, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng","88,69 triệu/m²",4 phòng,3 phòng,Đông Nam,2,Đã có sổ,Nhà phố liền kề,Hoàn thiện cơ bản,,,,
"16,50 tỷ","Đại Phước, Xã Đại Phước, Huyện Nhơn Trạch, Đồng Nai","51,56 triệu/m²",3 phòng,,,,Đang chờ sổ,Nhà biệt thự,,16 m,20 m,281 m²,
"5,95 tỷ","958//, Đường Lạc Long Quân, Phường 8, Quận Tân Bình, Tp Hồ Chí Minh","91,54 triệu/m²",2 phòng,2 phòng,Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",,5.2 m,,,
"1,69 tỷ",Cập nhật 1 ngày trước,"60,36 triệu/m²",4 phòng,,,,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,,,,28 m²
"6,45 tỷ","Đường Tân Hương, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","71,67 triệu/m²",3 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4.5 m,,,
"5,70 tỷ","173/, Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",95 triệu/m²,1 phòng,,Tây Bắc,,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4.2 m,14.5 m,,
910 triệu,Cập nhật 1 ngày trước,13 triệu/m²,3 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,70 m²
"5,70 tỷ","173/, Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",95 triệu/m²,1 phòng,,Tây Bắc,,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4.2 m,14.5 m,,
910 triệu,Cập nhật 1 ngày trước,13 triệu/m²,3 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,70 m²
950 triệu,Cập nhật 1 ngày trước,95 triệu/m²,2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,10 m²
10 tỷ,"25B, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Đồng Nai","33,33 triệu/m²",3 phòng,,,,Đang chờ sổ,Nhà biệt thự,Bàn giao thô,15 m,20 m,,
"2,99 tỷ","Đường Nguyễn Văn Tiên, Phường Tân Phong, Thành phố Biên Hòa, Đồng Nai","32,15 triệu/m²",3 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,19 m,,
"1,65 tỷ",Cập nhật 1 ngày trước,"25,38 triệu/m²",3 phòng,,,,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,,,,65 m²
"6,90 tỷ","Đường Đông Hồ, Phường 8, Quận Tân Bình, Tp Hồ Chí Minh","143,75 triệu/m²",4 phòng,4 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4.1 m,,,
"5,20 tỷ",Cập nhật 32 phút trước,"136,84 triệu/m²",3 phòng,4 phòng,,5,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,38 m²
"6,10 tỷ",Cập nhật 1 ngày trước,"103,39 triệu/m²",3 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,59 m²
450 triệu,"An Hạ, Xã Phạm Văn Hai, Huyện Bình Chánh, Tp Hồ Chí Minh","5,63 triệu/m²",2 phòng,2 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,
"1,60 tỷ",Cập nhật 1 giờ trước,"36,36 triệu/m²",2 phòng,,,,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,,,,44 m²
830 triệu,Cập nhật 5 giờ trước,"8,89 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,93.4 m²
490 triệu,"Đường Quốc lộ 50, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","34,75 triệu/m²",1 phòng,1 phòng,,1,Không có sổ,"Nhà ngõ, hẻm",,3.5 m,4 m,,
"2,75 tỷ","Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh","49,82 triệu/m²",3 phòng,4 phòng,,3,Đã có sổ,Nhà phố liền kề,Nội thất đầy đủ,5 m,,,
"8,80 tỷ","Đường Trần Xuân Soạn, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh","76,19 triệu/m²",6 phòng,6 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,5 m,,,
"1,25 tỷ",Cập nhật 1 ngày trước,125 triệu/m²,2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,10 m²
"26,90 tỷ","Đại lộ Bình Dương, Phường Bình Hòa, Thành phố Thuận An, Bình Dương","39,44 triệu/m²",1 phòng,1 phòng,Đông Nam,,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,15 m,,,
"5,80 tỷ","Đường Quyết Thắng, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","165,71 triệu/m²",3 phòng,3 phòng,Tây,5,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
"5,20 tỷ","Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh","86,67 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,12 m,,60 m²
"15,20 tỷ","Đường Bùi Đình Tuý, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh","158,66 triệu/m²",6 phòng,6 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,4 m,23 m,,
"5,80 tỷ","Đường Quyết Thắng, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","165,71 triệu/m²",3 phòng,3 phòng,Tây,5,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
"5,20 tỷ","Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh","86,67 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,12 m,,60 m²
"15,20 tỷ","Đường Bùi Đình Tuý, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh","158,66 triệu/m²",6 phòng,6 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,4 m,23 m,,
"1,86 tỷ","Đường Đoàn Văn Bơ, Phường 13, Quận 4, Tp Hồ Chí Minh",186 triệu/m²,3 phòng,3 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,5 m,,,
"1,80 tỷ",Cập nhật 17 phút trước,150 triệu/m²,3 phòng,3 phòng,Đông Bắc,5,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"13,90 tỷ","Đường số 2, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ","66,19 triệu/m²",6 phòng,3 phòng,Đông Bắc,1,Đã có sổ,Nhà biệt thự,Nội thất cao cấp,,,,
"6,50 tỷ","Đường Nguyễn Ảnh Thủ, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","81,25 triệu/m²",5 phòng,5 phòng,Đông,4,Đã có sổ,"Nhà ngõ, hẻm",,4 m,,,
930 triệu,"Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","9,79 triệu/m²",3 phòng,3 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,5 m,,,
12 tỷ,"87/59/12, Đường Lê Văn Duyệt, Phường 3, Quận Bình Thạnh, Tp Hồ Chí Minh","133,63 triệu/m²",3 phòng,1 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,6.3 m,,,
"8,30 tỷ","Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","115,28 triệu/m²",4 phòng,5 phòng,Đông Bắc,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
"5,60 tỷ","Đường số 3, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","105,66 triệu/m²",3 phòng,2 phòng,Đông Bắc,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"1,37 tỷ",Cập nhật 8 giờ trước,"54,80 triệu/m²",3 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,25 m²
"7,40 tỷ","Đường Lũy Bán Bích, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","123,33 triệu/m²",2 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,15 m,,
"3,32 tỷ","Đường Số 6, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",79 triệu/m²,3 phòng,3 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,3.6 m,,,
16 tỷ,Cập nhật 1 ngày trước,"123,08 triệu/m²",5 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,130 m²
"12,70 tỷ","Đường Lý Thái Tổ, Phường Hưng Phú, Quận Cái Răng, Cần Thơ","141,11 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,5 m,18 m,292.5 m²,90 m²
800 triệu,"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",8 triệu/m²,2 phòng,2 phòng,Đông Nam,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
"9,60 tỷ","Đường Song Hành Quốc Lộ 22, Phường Tân Hưng Thuận, Quận 12, Tp Hồ Chí Minh","51,89 triệu/m²",6 phòng,Nhiều hơn 6 phòng,Nam,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"9,90 tỷ","Đường Lê Thị Hoa, Phường Bình Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","82,50 triệu/m²",4 phòng,2 phòng,Đông Bắc,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
16 tỷ,Cập nhật 1 ngày trước,"123,08 triệu/m²",5 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,130 m²
"12,70 tỷ","Đường Lý Thái Tổ, Phường Hưng Phú, Quận Cái Răng, Cần Thơ","141,11 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,5 m,18 m,292.5 m²,90 m²
800 triệu,"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",8 triệu/m²,2 phòng,2 phòng,Đông Nam,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
"9,60 tỷ","Đường Song Hành Quốc Lộ 22, Phường Tân Hưng Thuận, Quận 12, Tp Hồ Chí Minh","51,89 triệu/m²",6 phòng,Nhiều hơn 6 phòng,Nam,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"9,90 tỷ","Đường Lê Thị Hoa, Phường Bình Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","82,50 triệu/m²",4 phòng,2 phòng,Đông Bắc,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
690 triệu,"Đường Trường Chinh, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",69 triệu/m²,4 phòng,4 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,2 m,,,
"7,75 tỷ",Đường An Dương Vương,"58,05 triệu/m²",1 phòng,1 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,10 m,,,
"5,75 tỷ","Đường số 8, Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","87,12 triệu/m²",4 phòng,5 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,6 m,,,
"6,50 tỷ","Quốc Lộ 13, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","83,33 triệu/m²",4 phòng,4 phòng,,3,Đã có sổ,Nhà phố liền kề,Nội thất đầy đủ,4 m,,,
"4,30 tỷ","Đường Phan Tây Hồ, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh","119,44 triệu/m²",5 phòng,4 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Bàn giao thô,3.5 m,,,
"9,95 tỷ",Cập nhật 1 ngày trước,"71,12 triệu/m²",nhiều hơn 10 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,139.9 m²
"2,60 tỷ","Phượng đồng, Xã Phụng Châu, Huyện Chương Mỹ, Hà Nội","81,25 triệu/m²",3 phòng,3 phòng,Tây,5,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,
"5,25 tỷ","Liên Khu 2-5, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","82,03 triệu/m²",2 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,4.3 m,15 m,,64 m²
490 triệu,"Đường Quốc Lộ 50, Phường 5, Quận 8, Tp Hồ Chí Minh",35 triệu/m²,1 phòng,1 phòng,,1,Không có sổ,"Nhà ngõ, hẻm",,3.5 m,4 m,,
"2,55 tỷ",Cập nhật 1 ngày trước,102 triệu/m²,2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,25 m²
7 tỷ,"Đường Tống Duy Tân, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","67,31 triệu/m²",4 phòng,4 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,8 m,,,
